File accession,Actual Age,Predicted Mean Age,Predicted Stddev,Model Type
ENCFF890ZNX,53.5,57.50677,1.7611632,simple_nn 16 5 0.0002 0.1 0.05
ENCFF949GYG,-0.3835616438356164,-1.9269183,0.60566545,simple_nn 16 5 0.0002 0.1 0.05
ENCFF952FEE,51.5,53.68213,1.6490576,simple_nn 16 5 0.0002 0.1 0.05
ENCFF960QQD,54.5,55.86019,1.7182102,simple_nn 16 5 0.0002 0.1 0.05
ENCFF019GQD,-0.4410958904109589,6.852707,0.63236564,simple_nn 16 5 0.0002 0.1 0.05
ENCFF031TEU,37.5,42.321285,1.4694965,simple_nn 16 5 0.0002 0.1 0.05
ENCFF045HTM,72.5,54.213688,1.6694416,simple_nn 16 5 0.0002 0.1 0.05
ENCFF054UNU,54.5,54.426826,1.6759299,simple_nn 16 5 0.0002 0.1 0.05
ENCFF095NPI,51.5,52.30544,1.6379967,simple_nn 16 5 0.0002 0.1 0.05
ENCFF119ZJT,67.5,37.401096,1.3853323,simple_nn 16 5 0.0002 0.1 0.05
ENCFF128BKW,-0.4712328767123288,24.820354,0.9066213,simple_nn 16 5 0.0002 0.1 0.05
ENCFF129FHQ,41.5,38.414307,1.394868,simple_nn 16 5 0.0002 0.1 0.05
ENCFF182YXH,37.5,55.50552,1.7194705,simple_nn 16 5 0.0002 0.1 0.05
ENCFF241FVV,51.5,46.151276,1.5307286,simple_nn 16 5 0.0002 0.1 0.05
ENCFF248ZRF,59.5,55.389755,1.7164582,simple_nn 16 5 0.0002 0.1 0.05
ENCFF253YEC,37.5,40.776386,1.4450997,simple_nn 16 5 0.0002 0.1 0.05
ENCFF258MPY,75.5,77.94454,2.277282,simple_nn 16 5 0.0002 0.1 0.05
ENCFF264LWT,-0.4794520547945205,-0.7153982,0.6106475,simple_nn 16 5 0.0002 0.1 0.05
ENCFF265STI,3.5,5.190553,0.6189673,simple_nn 16 5 0.0002 0.1 0.05
ENCFF279SBT,-0.038356164383561646,4.758828,0.618009,simple_nn 16 5 0.0002 0.1 0.05
ENCFF329DJP,51.5,53.03627,1.6534196,simple_nn 16 5 0.0002 0.1 0.05
ENCFF334IXM,37.5,39.40143,1.4215709,simple_nn 16 5 0.0002 0.1 0.05
ENCFF354VHC,-0.4712328767123288,26.846031,0.9609186,simple_nn 16 5 0.0002 0.1 0.05
ENCFF356LDB,34.5,36.769745,1.3734161,simple_nn 16 5 0.0002 0.1 0.05
ENCFF360XRU,-0.4410958904109589,6.7068195,0.63024175,simple_nn 16 5 0.0002 0.1 0.05
ENCFF362AWC,56.5,48.133343,1.5885638,simple_nn 16 5 0.0002 0.1 0.05
ENCFF366DMT,-0.5178082191780822,-0.60226595,0.61005044,simple_nn 16 5 0.0002 0.1 0.05
ENCFF367YCB,59.5,53.663746,1.6810151,simple_nn 16 5 0.0002 0.1 0.05
ENCFF380WQK,46.5,55.682537,1.7203254,simple_nn 16 5 0.0002 0.1 0.05
ENCFF407RTD,-0.4410958904109589,6.114022,0.62414396,simple_nn 16 5 0.0002 0.1 0.05
ENCFF414CCH,54.5,53.149475,1.6461278,simple_nn 16 5 0.0002 0.1 0.05
ENCFF457RZP,75.5,78.53696,2.2921312,simple_nn 16 5 0.0002 0.1 0.05
ENCFF548PVT,0.0,6.643956,0.62945116,simple_nn 16 5 0.0002 0.1 0.05
ENCFF550TZJ,51.5,38.393063,1.4045341,simple_nn 16 5 0.0002 0.1 0.05
ENCFF610QJA,51.5,52.62888,1.6369461,simple_nn 16 5 0.0002 0.1 0.05
ENCFF613OTX,37.5,43.62205,1.4870666,simple_nn 16 5 0.0002 0.1 0.05
ENCFF625BME,51.5,52.82051,1.646648,simple_nn 16 5 0.0002 0.1 0.05
ENCFF642YPL,54.5,49.56571,1.580932,simple_nn 16 5 0.0002 0.1 0.05
ENCFF661CVI,34.5,36.287838,1.3597305,simple_nn 16 5 0.0002 0.1 0.05
ENCFF676QBK,3.5,8.41048,0.65512824,simple_nn 16 5 0.0002 0.1 0.05
ENCFF678KDM,54.5,53.89161,1.665624,simple_nn 16 5 0.0002 0.1 0.05
ENCFF732VPS,30.5,14.542785,0.74564433,simple_nn 16 5 0.0002 0.1 0.05
ENCFF759DVC,37.5,38.51152,1.4078948,simple_nn 16 5 0.0002 0.1 0.05
ENCFF785HNW,34.5,35.456944,1.3446838,simple_nn 16 5 0.0002 0.1 0.05
ENCFF797TYB,0.0,3.6993916,0.6170235,simple_nn 16 5 0.0002 0.1 0.05
ENCFF857WKM,37.5,37.924507,1.3919331,simple_nn 16 5 0.0002 0.1 0.05
ENCFF865TTH,37.5,43.325623,1.4874727,simple_nn 16 5 0.0002 0.1 0.05
ENCFF972YUU,61.5,57.451687,1.7452948,simple_nn 16 5 0.0002 0.1 0.05
ENCFF991AHY,-0.5342465753424658,-1.1769813,0.60824543,simple_nn 16 5 0.0002 0.1 0.05
